Train Losses	Validation Losses
1125.8452721595067	1119.0654656145484
1122.1113952911048	1115.8413461538462
1118.2937408539772	1110.956456417224
1112.4131519807672	1103.3917485367892
1103.7096464408905	1092.8395824623747
1092.1987202100972	1079.9448552466556
1079.5506885648583	1068.2816158026756
1069.2636635047559	1059.6987745610368
1062.1328100501726	1053.8608643394648
1057.351217074318	1049.8815321906354
1054.425365187624	1047.6366142349498
1052.3050851886694	1045.6863764632108
1050.9547304536427	1044.87109375
1049.9596562402007	1044.0172319188964
1049.2304765077872	1043.4508256688964
1048.7263313996027	1042.8366821697325
1048.1827048709104	1042.477437813545
1047.7291927981603	1042.025566994147
1047.3153254677538	1041.653219063545
1046.9955380474548	1041.3089203595318
1046.6513209470054	1040.9698735367892
1046.2388287864535	1040.7334343645484
1045.9458490122295	1040.3199466973244
1045.5896277568727	1040.013495505853
1045.3107622556706	1039.7306777801002
1044.989926309188	1039.338641826923
1044.5565420194418	1038.84292694398
1044.220043508937	1038.630931229097
1043.7983563290477	1038.1414611204013
1043.4446665621406	1037.9038722826087
1043.0049388523048	1037.4797371446489
1042.5964872739626	1037.0737092391305
1042.240475070555	1036.651141826923
1041.8528666248562	1036.4472329640469
1041.6108073324972	1036.0652435200668
1041.2897264032613	1035.7762724707359
1041.1022688669384	1035.6441785117056
1040.8286655952754	1035.5482598244148
1040.6611496550643	1035.295241952341
1040.5125888470784	1035.0767140468226
1040.3598665987247	1035.0907321279265
1040.2382114299153	1034.901233277592
1040.1548715637086	1034.862366743311
1040.0336704296017	1034.6954170150502
1039.9303399707328	1034.5082044314381
1039.8487149837986	1034.5247831312709
1039.7442249398975	1034.4203203386287
1039.7139842688407	1034.3803302675585
1039.6085959548448	1034.3256819607022
1039.55893631755	1034.3247282608695
1039.52922480924	1034.0343201295987
1039.4681620413924	1034.2577079849498
1039.4342400961639	1034.128135451505
1039.4004978049545	1034.117331208194
1039.2376855336051	1034.0132472826087
1039.3073880265497	1033.9125731605352
1039.19005108707	1033.9302492683946
1039.167920978363	1033.9109531772576
1039.1408487509145	1033.9009589255852
1039.1195156527647	1033.7606997282608
1039.0927962004807	1033.595879494147
1038.9957699644613	1033.6561193561872
1038.9765567837358	1033.625052257525
1038.94639450716	1033.5322167642141
1038.88618754573	1033.635085702341
1038.9238430281175	1033.5323996655518
1038.8848973032298	1033.6405596780937
1038.862865187624	1033.5253448996655
1038.833258205289	1033.5349341555184
1038.7826970314622	1033.4226588628762
1038.8116670586392	1033.5677518812709
1038.7074611947319	1033.538435409699
1038.7537074056654	1033.3318222198998
1038.6599116755515	1033.466620505853
1038.6553321312847	1033.4451818561872
1038.757836181666	1033.3287651546823
1038.6320195724888	1033.216476797659
1038.6297983955262	1033.2468253553511
1038.5340624020068	1033.2738816889632
1038.5738410682554	1033.1852921195652
1038.5368225410264	1033.0724550585285
1038.5239821783214	1033.2799827550168
1038.4661205184489	1033.192516722408
1038.5474841904463	1033.1135164088628
1038.5036192118741	1032.9819842182274
1038.5297637712972	1033.1230926003345
1038.3902052628828	1032.9959369774247
1038.4385387268737	1033.0730298913043
1038.422735706073	1033.0414924749164
1038.4103297794502	1033.0364234949832
1038.3387490853977	1032.9358016304348
1038.3263006950976	1033.0223139632108
1038.2926171997492	1033.0560592600334
1038.2374928138393	1032.8276677466556
1038.2265633166091	1032.9386627299332
1038.346898844988	1033.1864156563545
1038.2917744590782	1032.8765285326087
1038.282050276994	1032.885804243311
1038.3197220915647	1032.9287207357859
1038.1979199331033	1033.02497909699
